name,url,title,summary,images,infobox_data.Coordinates,infobox_data.Type,infobox_data.Height,infobox_data.Owner,infobox_data.Controlled by,infobox_data.Open tothe public,infobox_data.Condition,infobox_data.Materials,infobox_data.Demolished,infobox_data.Battles/wars,infobox_data.Pastcommanders,infobox_data.Occupants,infobox_data.Built,infobox_data.Built by,infobox_data.In use,infobox_data.Location,infobox_data.Elevation,infobox_data.Construction started,infobox_data.Completed,infobox_data.Destroyed,infobox_data.Architect(s),infobox_data.Country,infobox_data.Address,infobox_data.Town or city,infobox_data.Construction stopped,infobox_data.Current tenants,infobox_data.Client,infobox_data.Grade,infobox_data.English translation,infobox_data.Language of name,infobox_data.Parent range,infobox_data.Mountain type,infobox_data.Architectural style,infobox_data.Structural system,infobox_data.State,infobox_data.District,infobox_data.• Body,infobox_data.• Total,infobox_data.• Official,infobox_data.Time zone,infobox_data.ISO 3166 code,infobox_data.Vehicle registration,infobox_data.Website,infobox_data.Architect,infobox_data.Garrison,infobox_data.Currentcommander,infobox_data.Easiest route
Karnala Fort,https://en.wikipedia.org/wiki/Karnala_Fort,Karnala Fort,"Karnala Fort (also called Funnel Hill[1]) is a hill fort in Raigad district, Maharashtra, India, about 10 km from Panvel city. Currently it is a protected place lying within the Karnala Bird Sanctuary. It was a place of strategic importance since it overlooked the Bor pass, which connected the Konkan coast to the interior of Maharashtra (Deccan Plateau)[1] on the main trade route between these areas.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",18°52′54″N 73°07′05″E﻿ / ﻿18.88167°N 73.11806°E﻿ / 18.88167; 73.11806,Hill fort,"439 m (1,440 ft) ASL",Government of India,"Ahmednagar sultanate, Portuguese, Marathas, British East India Company",Yes from 6am to 6pm.,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achala Fort,https://en.wikipedia.org/wiki/Achala_Fort,Achala Fort,"Achala Fort is a westernmost fort in the Satmala hill range. It is located 55 km from Nashik, in Nashik district, of Maharashtra. This fort is adjoining the Ahivant Fort. The three forts Achala, Ahivant, and Mohandar are very close by. The Achala and Mohandar forts were constructed to guard the Ahivant fort.[1] Captain Briggs has described it as a large hill, whose ascent is very easy till it reaches the top where it is very steep.[2]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°25′54.2″N 73°48′54.9″E﻿ / ﻿20.431722°N 73.815250°E﻿ / 20.431722; 73.815250,Hill fort,4024Ft.,IndiaGovernment of India,"Ahmadnagar (1521-1594) Maratha Confederacy (1670-1676)Mughal Empire(1676-1754) Maratha Confederacy (1754-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahmednagar Fort,https://en.wikipedia.org/wiki/Ahmednagar_Fort,Ahmednagar Fort,"The Ahmednagar Fort (Ahmadnagar Qilaa) is a fort located close to the Bhingar Nala near Ahmednagar in[1] Maharashtra state   western India. It was the headquarters of the Ahmednagar Sultanate. In 1803, it was taken by the British during the Second Anglo-Maratha War. It was used as a prison during the British Raj. Currently, the fort is under the administration of the Armoured Corps of the Indian Army.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°05′41.3″N 74°45′19.7″E﻿ / ﻿19.094806°N 74.755472°E﻿ / 19.094806; 74.755472,Land fort,,Indian Military,"Ahmadnagar Sultanate (1562-1600)Mughal Empire (1600-1724) Hyderabad (1724-1759) Maratha Confederacy (1759-1803) United Kingdom
 East India Company (1803-1857)
 India (1857-1947)
 India (1947-)",daily 10am to 5pm,Good,"Stone, mud, clay, cement",yes,Siege of Ahmednagar,"Chand Bibi, Aurangzeb","Nana Phadanvis, Jawaharlal Nehru, Abul Kalam Azad, Sardar Patel",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ahivant Fort,https://en.wikipedia.org/wiki/Ahivant_Fort,Ahivant Fort,"Ahivant Fort is a fort located 55km from Nashik, in Nashik district, of Maharashtra. This fort is an important fort in Nashik district. The three forts Achala, Ahivant, and Mohandar are very close by. The other two forts were constructed to guard the Ahivant fort.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°24′55.6″N 73°51′36″E﻿ / ﻿20.415444°N 73.86000°E﻿ / 20.415444; 73.86000,Hill fort,4024Ft.,IndiaGovernment of India,"Ahmadnagar (1521-1594) Maratha Confederacy (1670-1676)Mughal Empire(1676-1754) Maratha Confederacy (1754-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akluj Fort,https://en.wikipedia.org/wiki/Akluj_Fort,Akluj Fort,"Akluj Fort  ( Marathi: अकलूज  किल्ला ) is a fort located 115 km from Solapur, in Solapur district, of Maharashtra. This fort is an important fort in Solapur district. The fort restoration is done by the Shree Dinkarrao Thopte and Avinash Thopte with the help of local people. The fort is now also called Shivshrushti.[citation needed]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°53′39.1″N 75°01′21.7″E﻿ / ﻿17.894194°N 75.022694°E﻿ / 17.894194; 75.022694,Hill fort,1598 Ft.,Government of India,India (1947-),Yes,Good,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akola Fort,https://en.wikipedia.org/wiki/Akola_Fort,Akola Fort,"Akola fort (also called Asadgad)[citation needed] along with the Narnala and Akot forts forms the major fortifications of the Akola district, Maharashtra, India.[1]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°42′22″N 76°59′24″E﻿ / ﻿20.706225°N 76.990019°E﻿ / 20.706225; 76.990019,Hill fort,,Government of India,Mughal Empire,Yes,Dilapidated,Stone,,,"Asad Khan, Arthur Wellesley",,1697,Asad Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alang Fort,https://en.wikipedia.org/wiki/Alang_Fort,Alang Fort,"Alang Fort (also known as Alangad or Alang) is a fort located in the Kalsubai range of the Western Ghats mountains, Nashik, (Maharashtra, India). Alang Fort, Madangad Fort, Kulang Fort, and the trek connecting them are known as Alang, Madan, and Kulang (AMK). Alang Fort is regarded as one of the most difficult places to reach in the region. As the Maharashtra Culture Government website notes,[1] ""Alang-Madan-Kurland is one of Maharashtra's most challenging treks, especially because of its challenging stretches of water and dense forests.""[2] This route is suitable for experienced mountaineers. While the forts are difficult to access because of heavy local rains and poorly marked trails,[3] they remain a popular tourist destination. 
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",19°34′58″N 73°39′40″E﻿ / ﻿19.5827°N 73.6612°E﻿ / 19.5827; 73.6612,Hill Fort,"4,500 feet (1,400 m)",Government of India,,Yes,Poor[citation needed],"Stone, Lead",,,,,Maratha Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anjanvel Fort,https://en.wikipedia.org/wiki/Anjanvel_Fort,Anjanvel Fort,"Gopalgad Fort  / Anjanvel Fort (Marathi: अंजनवेल चा किल्ला/ गोपाळगड) is a fort located 51 km (32 mi) from Chiplun, in  Ratnagiri district, of Maharashtra. This fort is an important fort in Ratnagiri district. The Fort is located on a prominent and commanding point for guarding the trade route along the Vashishti River, which runs till Govalkot near Chiplun and the Dabhol port which was a busy route in medieval times. It is a fort located on a hill near the sea.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",17°34′17.3″N 73°09′06.5″E﻿ / ﻿17.571472°N 73.151806°E﻿ / 17.571472; 73.151806,Sea fort,300 Ft.,India Government of India,"Bijapur (–1660) Maratha Confederacy (1660–1699)Janjira State (1699–1745) Maratha Confederacy (1745–1818) United Kingdom
 East India Company (1818–1857)
 British Raj (1857–1947)
 India (1947-)",Yes,Ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankai Fort,https://en.wikipedia.org/wiki/Ankai_Fort,Ankai Fort,"Ankai Fort is a historic site found in the Satmala Range hills in western India.[1][2] It is located in Yeola Taluka of Nashik district in the state of Maharashtra. The fort was built by Yadava of Devgiri. Geographically, it is near Manmad. The Ankai fort and Tankai fort are two different forts on adjacent hills. A common fortification is constructed to secure both. The Ankai fort is located on a hill with perpendicular scarps on all the sides, except for a narrow nose on the eastern side.
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°11′14″N 74°26′51.5″E﻿ / ﻿20.18722°N 74.447639°E﻿ / 20.18722; 74.447639,Hill fort,966.22 M (3170 Ft),Government of India,"Ahmadnagar (1521-1594) Mughal Empire (1594-1739) Maratha Confederacy (1739-1818) United Kingdom
 East India Company (1818-1857)
 British Raj (1857-1947)
 India (1947-present)",Yes,In ruins,Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antur Fort,https://en.wikipedia.org/wiki/Antur_Fort,Antur Fort,"Antur Fort is a fort near Nagapur village  in Kannad taluka In Chhatrapati Sambhajinagar district of Maharashtra state of India.[1] This monument is protected by Maharashtra State, Archaeology Department.[2][3]
","['/static/images/icons/wikipedia.png', '/static/images/mobile/copyright/wikipedia-wordmark-en.svg', '/static/images/mobile/copyright/wikipedia-tagline-en.svg']",20°16′N 75°08′E﻿ / ﻿20.27°N 75.13°E﻿ / 20.27; 75.13,,,Government of India,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
